RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0.673854447,49,0,0.638269101,4436.0,6,0,2,0,2.0
0.231724243,63,0,0.454444197,4488.0,19,0,2,0,0.0
0.137089466,78,0,2518.0,,8,0,2,0,0.0
0.219919902,51,0,0.353223484,6250.0,9,0,2,0,1.0
0.179662206,69,0,0.137880313,12916.0,9,0,0,0,0.0
0.477672067,31,0,0.114400727,7700.0,11,0,0,0,1.0
0.069130129,53,0,0.244548138,10500.0,24,0,2,0,3.0
0.71069422,37,0,0.155645369,23257.0,4,0,1,0,0.0
0.0,71,0,0.564550573,5150.0,5,0,0,0,0.0
0.38584796,40,1,0.45229298,4600.0,6,0,1,0,3.0
0.844942589,71,2,0.950508249,6000.0,16,2,1,0,0.0
0.08145927,44,0,4.0,,1,0,0,0,0.0
0.9999999,43,2,0.058418761,7120.0,0,3,0,0,2.0
0.0,32,1,0.332223147,1200.0,4,2,0,0,0.0
0.9999999,31,0,0.017414766,4076.0,1,0,0,0,0.0
0.735470578,46,1,0.425290462,3700.0,6,0,1,0,2.0
0.064098516,54,2,0.347708466,6283.0,9,1,2,1,3.0
1.060939061,39,2,0.574440433,6924.0,6,3,4,2,0.0
0.9999999,25,0,0.0,6550.0,0,0,0,0,0.0
0.788873039,40,0,0.214865709,1600.0,4,0,0,0,2.0
